Player,Pos,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%
Yann Sommer,GK,1596.0,1861.0,85.8,37677.0,23206.0,341.0,341.0,100.0,897.0,911.0,98.5,356.0,597.0,59.6
Alessandro Bastoni,DF,2677.0,3064.0,87.4,48658.0,14946.0,1154.0,1217.0,94.8,1210.0,1318.0,91.8,277.0,438.0,63.2
Nicolò Barella,MF,1845.0,2269.0,81.3,32128.0,9691.0,860.0,973.0,88.4,764.0,887.0,86.1,181.0,289.0,62.6
Lautaro Martínez,FW,613.0,821.0,74.7,9728.0,2162.0,336.0,412.0,81.6,197.0,251.0,78.5,56.0,75.0,74.7
Henrikh Mkhitaryan,MF,1740.0,1987.0,87.6,27904.0,7467.0,905.0,979.0,92.4,670.0,753.0,89.0,124.0,154.0,80.5
Marcus Thuram,FW,567.0,756.0,75.0,7062.0,1375.0,353.0,453.0,77.9,143.0,181.0,79.0,18.0,28.0,64.3
Denzel Dumfries,"DF,FW",829.0,1167.0,71.0,13630.0,4239.0,420.0,501.0,83.8,330.0,474.0,69.6,63.0,121.0,52.1
Hakan Çalhanoğlu,MF,1823.0,2134.0,85.4,33635.0,10032.0,749.0,822.0,91.1,816.0,898.0,90.9,216.0,331.0,65.3
Federico Dimarco,"DF,FW",1214.0,1576.0,77.0,20149.0,5948.0,625.0,715.0,87.4,459.0,574.0,80.0,106.0,208.0,51.0
Yann Aurel Bisseck,DF,1429.0,1579.0,90.5,23564.0,6407.0,609.0,640.0,95.2,728.0,775.0,93.9,58.0,93.0,62.4
Stefan de Vrij,DF,1736.0,1862.0,93.2,31879.0,10243.0,553.0,585.0,94.5,1066.0,1110.0,96.0,100.0,134.0,74.6
Benjamin Pavard,DF,1541.0,1696.0,90.9,27763.0,7867.0,603.0,643.0,93.8,789.0,841.0,93.8,129.0,167.0,77.2
Matteo Darmian,DF,894.0,1097.0,81.5,15572.0,4142.0,389.0,432.0,90.0,421.0,490.0,85.9,66.0,123.0,53.7
Carlos Augusto,DF,1231.0,1416.0,86.9,19609.0,5041.0,643.0,690.0,93.2,500.0,559.0,89.4,65.0,105.0,61.9
Francesco Acerbi,DF,1453.0,1582.0,91.8,26906.0,7586.0,496.0,532.0,93.2,840.0,881.0,95.3,100.0,131.0,76.3
Davide Frattesi,MF,381.0,470.0,81.1,5499.0,1169.0,220.0,249.0,88.4,137.0,167.0,82.0,15.0,18.0,83.3
Mehdi Taremi,FW,293.0,368.0,79.6,3862.0,835.0,178.0,205.0,86.8,92.0,108.0,85.2,5.0,9.0,55.6
Piotr Zieliński,MF,929.0,1041.0,89.2,13991.0,4262.0,518.0,544.0,95.2,357.0,394.0,90.6,41.0,75.0,54.7
Kristjan Asllani,MF,1065.0,1188.0,89.6,19970.0,5454.0,409.0,426.0,96.0,513.0,546.0,94.0,126.0,186.0,67.7
Marko Arnautović,FW,166.0,229.0,72.5,2119.0,424.0,105.0,131.0,80.2,45.0,62.0,72.6,4.0,6.0,66.7
Josep Martinez,GK,249.0,289.0,86.2,6179.0,3739.0,38.0,38.0,100.0,155.0,157.0,98.7,56.0,93.0,60.2
Joaquín Correa,"FW,MF",263.0,306.0,85.9,4005.0,950.0,139.0,156.0,89.1,99.0,108.0,91.7,17.0,19.0,89.5
Nicola Zalewski,MF,169.0,203.0,83.3,2809.0,591.0,84.0,91.0,92.3,62.0,73.0,84.9,15.0,22.0,68.2
Tajon Buchanan,"DF,FW",40.0,48.0,83.3,509.0,151.0,27.0,28.0,96.4,13.0,16.0,81.3,0.0,2.0,0.0
Tomás Palacios,DF,15.0,15.0,100.0,243.0,75.0,10.0,10.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0
Giacomo De Pieri,FW,4.0,5.0,80.0,31.0,10.0,4.0,4.0,100.0,0.0,0.0,,0.0,0.0,
Thomas Berenbruch,MF,9.0,10.0,90.0,105.0,32.0,6.0,6.0,100.0,3.0,4.0,75.0,0.0,0.0,
Matteo Cocchi,DF,5.0,5.0,100.0,81.0,44.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,0.0,
Mike Aidoo,DF,,,,,,,,,,,,,,
